"HGNC","logFC","logCPM","F","PValue","FDR"
"DGAT2",-1.16285242099139,4.41487434114158,4.98721334973116,0.0278982152298936,0.0716016311450188
"DGCR2",-0.0746782942679713,5.5194670816106,0.030530019396943,0.861956746513351,0.897940887350158
"DGCR6",-0.306170667279588,4.53985950250688,0.393774648041368,0.531830484266275,0.630425694369728
"DGCR6L",-0.942546004127802,5.0331142503507,6.95361568259581,0.0104130352528387,0.0340099177307618
"DGCR8",-0.321421104300415,5.25348991624796,0.733227681624976,0.395331437284459,0.507746050162697
"DGKA",-0.581898346019424,5.51748564221429,1.64323438350667,0.20546715663665,0.311736163605842
"DGKB",-1.96557828247403,4.49952380895376,18.4233000145447,4.3116465157151e-05,0.000452468553855959
"DGKD",-1.19936928239124,5.70889264088887,7.95688436854254,0.00681861854260912,0.0246677391390754
"DGKE",-1.04992737800929,4.75443534611941,6.01790379969379,0.0162779732011952,0.0474928633510465
"DGKG",-1.72623479137644,4.51626968197755,9.19042112611017,0.00313994426856363,0.0135586057193658
"DGKH",-0.364050623609007,6.46539780803748,0.581359588066789,0.44961275904602,0.5571536186281
"DGKI",-1.16573628324092,4.94093824391938,5.18959739624482,0.0257325829432469,0.067451572069298
"DGKK",-1.21036841931033,4.42801456751292,2.82790142674178,0.0959373817538452,0.178507309510399
"DGKQ",-1.67260813239997,5.12105523300863,23.9279666980062,7.00755069627092e-06,0.000110466770481963
"DGKZ",-1.2013280481998,5.81080091957684,15.1222000284627,0.000298966680790138,0.00212551675924234
"DGLUCY",-0.160783662489022,5.64359101322424,0.140113667924479,0.709708090615289,0.778711779588188
"DGUOK",-0.834774265773404,4.78502022741128,5.80569340121964,0.018280477047396,0.0517188725745037
"DHCR24",0.0382781302816373,7.13765523978104,0.0045095172543857,0.946748990956932,0.962223377556807
"DHCR7",-1.09615794639524,4.55831412930578,5.34032506670007,0.0230133318204403,0.061692537455894
"DHDDS",-0.731779533346495,4.94232395614151,3.48057851068026,0.066260794432656,0.13590068268149
"DHFR",-0.957143872311081,4.88454921116339,5.33308188029155,0.0237295715576316,0.0631758065307227
"DHFR2",-0.786409128865482,4.54083120988773,2.98287987370622,0.087393272861036,0.166952756130133
"DHODH",-1.15065094978952,4.76262959223964,9.8417967057527,0.00237370328207223,0.0108674359768381
"DHPS",-0.803387551488207,4.85139092714521,5.06509392669009,0.0273240319945883,0.070583193000028
"DHRS1",-1.01476115290691,4.59588426782656,5.76483138954681,0.0183503411205996,0.0518583177771833
"DHRS11",-0.944683596301395,4.33378872521355,4.49323782689188,0.0368908210999194,0.0883959098688919
"DHRS12",-0.567230763667552,4.58881747031042,1.69829064115465,0.195735769694656,0.301202433023566
"DHRS13",-0.738524320853424,4.35106777831663,1.65671678155393,0.201390905009498,0.30746423680501
"DHRS3",-0.747853889619861,5.65800029986222,3.1050403929286,0.084029660851557,0.16234783843072
"DHRS4",-0.862287121675927,4.60029893784292,4.45195798861374,0.0375712349740076,0.0895009790921461
"DHRS4-AS1",-0.851769490002233,4.7345928241123,3.80141843529229,0.054577018826453,0.118307580087962
"DHRS4L1",-1.66466301973353,4.31982280551446,14.0375652761035,0.000336303607382756,0.00233819914981243
"DHRS7",-0.583144388015456,4.69372113252237,1.6695461022646,0.199779728854538,0.305908634254868
"DHRS7B",-1.08136709353495,4.7322281886943,4.66216416855201,0.0337012842425535,0.0825107090380402
"DHRS9",-0.460279596013047,6.80459705104636,0.95554151521778,0.333387223229287,0.44662310326659
"DHRSX",-1.09814002123535,4.6358199316996,8.33700140041877,0.00486368244327223,0.0189562708978384
